record_type,timestamp_utc,sim_id,launch_date_utc,perigee_alt_km,apogee_alt_km,inclination_deg,latitude_deg,longitude_deg,altitude_km,speed_km_s,raan_deg,arg_perigee_deg,mean_anomaly_deg,orbital_phase_0_1,lat_sin,lat_cos,lon_sin,lon_cos,altitude_norm_0_1,position_seed_u64,position_entropy_feature_0_1,eci_x_km,eci_y_km,eci_z_km,ecef_x_km,ecef_y_km,ecef_z_km
FORWARD_SIM,2026-09-15T04:25:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,9.9109385705,27.536212531335,701.735719510745,7.501521589657,89.441204194176,127.15112627241,242.914485501837,0.674762459727,0.172117168377,0.985076484518,0.462309136569,0.886718818028,0.763095528375,15292756647518547125,0.829021999027,225.322412117548,6971.198754450525,1211.326784396794,6184.721196632231,3224.531901436704,1211.326784396794
FORWARD_SIM,2026-09-15T04:26:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,13.537976622123,26.797390439937,701.753145358097,7.502069883364,89.441824107363,127.148919300066,246.559238381901,0.684886773283,0.234089815935,0.972214975237,0.45083688703,0.892606352931,0.764063631005,1441605491719199390,0.078149590299,281.010216021083,6878.575247086294,1647.607187882639,6144.981434399132,3103.702199346206,1647.607187882639
FORWARD_SIM,2026-09-15T04:27:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,17.16331758072,26.043521422178,701.907304103512,7.502633641836,89.44244402055,127.146712327722,250.203991261965,0.695011086839,0.295096392577,0.955467487196,0.439053737126,0.898460803773,0.772628005751,4776298399241935763,0.258923655045,335.566668761288,6758.203367086281,2077.240782754981,6079.46128540208,2970.869943194617,2077.240782754981
FORWARD_SIM,2026-09-15T04:28:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,20.786354991414,25.26969363703,702.189234768141,7.503210594179,89.443063933736,127.144505355378,253.848744142028,0.705135400395,0.3548843233,0.934910218725,0.426879592942,0.904308472331,0.788290820452,15435403865387579282,0.836754920202,388.771968772186,6610.562551748913,2498.49245147092,5988.316835577818,2826.790117964787,2498.49245147092
FORWARD_SIM,2026-09-15T04:29:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,24.406459058388,24.470272089498,702.587747836914,7.503798414764,89.443683846923,127.142298383035,257.493497022092,0.71525971395,0.41320709024,0.910637084999,0.414221053528,0.910176311939,0.810430435384,10794345169595318875,0.585162624172,440.411648711594,6436.242368483747,2909.660071715055,5871.81384948474,2672.261282731413,2909.660071715055
FORWARD_SIM,2026-09-15T04:30:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,28.022964010854,23.638635470465,703.089637812743,7.504394732497,89.444303760109,127.140091410691,261.138249902156,0.725384027506,0.469825408344,0.882759358871,0.400966859694,0.916092559421,0.838313211819,1673936611752402956,0.090744285553,490.277440893746,6235.940244500847,3309.081394977194,5730.327214722116,2508.121351579641,3309.081394977194
FORWARD_SIM,2026-09-15T04:31:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,31.635149302489,22.766829581196,703.679929361032,7.504997140303,89.444923673296,127.137884438347,264.783002782219,0.735508341062,0.524508317161,0.851405323703,0.386981824521,0.922087342658,0.871107186724,1670321159114516722,0.090548291473,538.168119533299,6010.458759687636,3695.14077804796,5564.339826440674,2335.243396880508,3695.14077804796
FORWARD_SIM,2026-09-15T04:32:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,35.242211887652,21.845094473854,704.342152493515,7.505603204778,89.445543586482,127.135677466003,268.427755662283,0.745632654617,0.577034180087,0.816719997926,0.372098482479,0.928193255382,0.907897360751,11775692125370249425,0.638361549242,583.890316359958,5760.702511826194,4066.275740004189,5374.441041815086,2154.531229607297,4066.275740004189
FORWARD_SIM,2026-09-15T04:33:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,38.843225382329,20.861204528001,705.05864177894,7.506210475974,89.446163499669,127.133470493659,272.072508542347,0.755756968173,0.627191585223,0.778865017461,0.356105359593,0.934445810558,0.947702321052,7570068524276475539,0.410374236994,627.259306241946,5487.674565073656,4420.983317738792,5161.324656498638,1966.914883680199,4420.983317738792
FORWARD_SIM,2026-09-15T04:34:50Z,UNKNOWN-SIM-01 / SIM-94731,2024-11-17,688,706,97.4,42.43707951479,19.79952403704,705.810854220957,7.506816497281,89.446783412855,127.131263521315,275.71726142241,0.765881281729,0.674780144822,0.738018804742,0.338730104223,0.940883582859,0.989491901164,2440001374365059926,0.132272739548,668.099759550142,5192.472494382404,4757.826193686971,4925.786417070197,1773.346008830632,4757.826193686971
